Energy,Gap
130.0000, 16.1000
140.0000, 16.2000
150.0000, 16.9000
160.0000, 17.6000
170.0000, 18.2000
180.0000, 18.8000
190.0000, 19.4000
200.0000, 19.9000
210.0000, 20.4000
220.0000, 20.9000
230.0000, 21.4000
240.0000, 21.9000
250.0000, 22.3000
260.0000, 22.7000
270.0000, 23.1000
280.0000, 23.5000
290.0000, 23.9500
300.0000, 24.3000
250.0000, 22.3000
300.0000, 24.3100
350.0000, 26.1000
400.0000, 27.7000
450.0000, 29.2000
500.0000, 30.6000
550.0000, 31.9000
600.0000, 33.2000
650.0000, 34.5000
700.0000, 35.7000
750.0000, 37.0000
800.0000, 38.2000
850.0000, 39.4000
900.0000, 40.6000
950.0000, 42.0000
1000.0000, 43.2000
1000.0000, 43.4000
1050.0000, 44.7000
1100.0000, 46.2000
1150.0000, 47.8000
1200.0000, 49.8000
1250.0000, 52.0000
1300.0000, 54.3000
1350.0000, 57.7000
1400.0000, 61.5000
