Energy,Gap
160.0000210526,17.4632479473
199.9999935484,19.7947969476
249.9998967742,22.193379834
299.9999870968,24.2227344777
349.9999935484,26.0121360675
400.0002129032,27.6284942294
449.9998387097,29.1207857198
500.0000096774,30.5339039047
550.0023129032,31.8587090888
599.998816129,33.1354493374
650.0001387097,34.3938560402
700.0009870968,35.6373862714
750.0030935484,36.8602119125
799.9998677419,38.0845801615
849.9962387097,39.3307538299
900.0020322581,40.5969435575
950.0030064516,41.9171336761
1000.0033290323,43.2937901202
1049.9999483871,44.7410301968
1099.9988580645,46.3054940356
1149.9928064516,47.9979612875
1200.0007451613,49.8828069719
1249.9997290323,52.081980033
1300.004083871,54.696455039
1349.9984322581,58.0065124986
