Energy,Gap
139.4585, 16.0000
141.4444, 16.2211
143.5600, 16.4422
145.8042, 16.6633
148.1760, 16.8844
150.6742, 17.1055
153.2978, 17.3266
156.0456, 17.5477
158.9166, 17.7688
161.9096, 17.9899
165.0235, 18.2111
168.2572, 18.4322
171.6096, 18.6533
175.0795, 18.8744
178.6657, 19.0955
182.3673, 19.3166
186.1829, 19.5377
190.1115, 19.7588
194.1519, 19.9799
198.3029, 20.2010
202.5634, 20.4221
206.9322, 20.6432
211.4081, 20.8643
215.9900, 21.0854
220.6767, 21.3065
225.4669, 21.5276
230.3596, 21.7487
235.3534, 21.9698
240.4472, 22.1910
245.6398, 22.4121
250.9299, 22.6332
256.3165, 22.8543
261.7981, 23.0754
267.3737, 23.2965
273.0419, 23.5176
278.8016, 23.7387
284.6515, 23.9598
290.5904, 24.1809
296.6170, 24.4020
302.7300, 24.6231
308.9282, 24.8442
315.2104, 25.0653
321.5753, 25.2864
328.0215, 25.5075
334.5479, 25.7286
341.1532, 25.9497
347.8359, 26.1709
354.5950, 26.3920
361.4290, 26.6131
368.3367, 26.8342
375.3168, 27.0553
382.3679, 27.2764
389.4888, 27.4975
396.6781, 27.7186
403.9345, 27.9397
411.2567, 28.1608
418.6434, 28.3819
426.0931, 28.6030
433.6046, 28.8241
441.1766, 29.0452
448.8076, 29.2663
456.4963, 29.4874
464.2413, 29.7085
472.0414, 29.9296
479.8951, 30.1508
487.8010, 30.3719
495.7578, 30.5930
503.7640, 30.8141
511.8184, 31.0352
519.9194, 31.2563
528.0658, 31.4774
536.2561, 31.6985
544.4888, 31.9196
552.7627, 32.1407
561.0762, 32.3618
569.4279, 32.5829
577.8165, 32.8040
586.2404, 33.0251
594.6984, 33.2462
603.1888, 33.4673
611.7103, 33.6884
620.2614, 33.9095
628.8407, 34.1307
637.4467, 34.3518
646.0779, 34.5729
654.7330, 34.7940
663.4103, 35.0151
672.1085, 35.2362
680.8260, 35.4573
689.5613, 35.6784
698.3131, 35.8995
707.0797, 36.1206
715.8597, 36.3417
724.6516, 36.5628
733.4538, 36.7839
742.2649, 37.0050
751.0833, 37.2261
759.9076, 37.4472
768.7361, 37.6683
777.5673, 37.8894
786.3998, 38.1106
795.2319, 38.3317
804.0621, 38.5528
812.8889, 38.7739
821.7108, 38.9950
830.5260, 39.2161
839.3332, 39.4372
848.1307, 39.6583
856.9169, 39.8794
865.6903, 40.1005
874.4492, 40.3216
883.1922, 40.5427
891.9175, 40.7638
900.6237, 40.9849
909.3090, 41.2060
917.9719, 41.4271
926.6108, 41.6482
935.2241, 41.8693
943.8101, 42.0905
952.3672, 42.3116
960.8938, 42.5327
969.3883, 42.7538
977.8489, 42.9749
986.2741, 43.1960
994.6622, 43.4171
1003.0116, 43.6382
1011.3206, 43.8593
1019.5875, 44.0804
1027.8107, 44.3015
1035.9885, 44.5226
1044.1192, 44.7437
1052.2012, 44.9648
1060.2327, 45.1859
1068.2120, 45.4070
1076.1376, 45.6281
1084.0075, 45.8492
1091.8203, 46.0704
1099.5741, 46.2915
1107.2672, 46.5126
1114.8980, 46.7337
1122.4646, 46.9548
1129.9654, 47.1759
1137.3986, 47.3970
1144.7626, 47.6181
1152.0554, 47.8392
1159.2755, 48.0603
1166.4210, 48.2814
1173.4903, 48.5025
1180.4814, 48.7236
1187.3927, 48.9447
1194.2225, 49.1658
1200.9688, 49.3869
1207.6300, 49.6080
1214.2042, 49.8291
1220.6898, 50.0503
1227.0847, 50.2714
1233.3874, 50.4925
1239.5960, 50.7136
1245.7086, 50.9347
1251.7234, 51.1558
1257.6387, 51.3769
1263.4527, 51.5980
1269.1634, 51.8191
1274.7690, 52.0402
1280.2678, 52.2613
1285.6579, 52.4824
1290.9374, 52.7035
1296.1045, 52.9246
1301.1573, 53.1457
1306.0940, 53.3668
1310.9128, 53.5879
1315.6116, 53.8090
1320.1887, 54.0302
1324.6423, 54.2513
1328.9703, 54.4724
1333.1710, 54.6935
1337.2424, 54.9146
1341.1826, 55.1357
1344.9898, 55.3568
1348.6619, 55.5779
1352.1973, 55.7990
1355.5938, 56.0201
1358.8496, 56.2412
1361.9627, 56.4623
1364.9313, 56.6834
1367.7534, 56.9045
1370.4271, 57.1256
1372.9503, 57.3467
1375.3213, 57.5678
1377.5379, 57.7889
1379.5984, 58.0101
1381.5006, 58.2312
1383.2426, 58.4523
1384.8226, 58.6734
1386.2384, 58.8945
1387.4881, 59.1156
1388.5697, 59.3367
1389.4813, 59.5578
1390.2208, 59.7789
1390.7862, 60.0000
